,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
1704,GRZEGÓRZECKA,67h,169_LOK,68.4,3.0,3.0,1460000,21345,20229,17583,17770,23994,19667,19056,1766,Dzielnica II Grzegórzki,"(50.0559356502805, 19.96183997567207)",wtorny,2024-08-29,2024
1705,BAGROWA,21A,21A_7_LOK,49.15,3.0,1.0,562078,11436,13402,14639,14979,15292,16857,16368,5279,Dzielnica XIII Podgórze,"(50.036254534578795, 20.000986243216328)",pierwotny,2024-01-30,2024
1706,OSIEDLE 2 PUŁKU LOTNICZEGO,46,69_LOK,65.88,4.0,10.0,685000,10398,13086,13581,13985,12485,14569,13558,5226,Dzielnica XIV Czyżyny,"(50.07541879354819, 20.009116684361704)",wtorny,2024-02-05,2024
1707,PIOTRA MICHAŁOWSKIEGO,1,18_LOK,28.31,1.0,5.0,391194,13818,14912,17408,19904,15592,18255,18643,903,Dzielnica I Stare Miasto,"(50.06677848073994, 19.92880498068079)",wtorny,2024-02-08,2024
1708,CENTRALNA,51,22_LOK,40.84,2.0,4.0,420130,10287,11065,11351,13985,10591,14574,15533,5133,Dzielnica XIV Czyżyny,"(50.06406062645832, 20.010747028932222)",pierwotny,2024-10-23,2024
1709,STANISŁAWA KONARSKIEGO,44,1b_LOK,26.95,1.0,1.0,440000,16327,19073,17607,16968,15863,16164,16467,1593,Dzielnica V Krowodrza,"(50.070478597388174, 19.92105075619639)",wtorny,2024-10-03,2024
1710,GRZEGÓRZECKA,13,15_LOK,26.35,1.0,3.0,770000,29222,26167,17583,17770,18426,17162,18396,977,Dzielnica II Grzegórzki,"(50.05856044821406, 19.951597977086898)",wtorny,2024-10-15,2024
1711,OSIEDLE TEATRALNE,13,3_LOK,62.46,4.0,2.0,700000,11207,11214,12132,12842,11588,12235,12613,6812,Dzielnica XVIII Nowa Huta,"(50.0774109846688, 20.031265768516445)",wtorny,2024-09-26,2024
1712,CENTRALNA,51,68_LOK,62.1,3.0,6.0,635943,10241,11065,11351,13985,10591,14574,15533,5133,Dzielnica XIV Czyżyny,"(50.06406062645832, 20.010747028932222)",pierwotny,2024-09-23,2024
1713,SODOWA,11,8_LOK,32.24,3.0,1.0,400000,12407,14905,15863,14775,16674,14335,15505,4190,Dzielnica VIII Dębniki,"(50.03347144141611, 19.900950211256692)",wtorny,2024-09-20,2024
1714,GRZEGÓRZECKA,69E,156_LOK,41.92,1.0,4.0,838400,20000,17456,17583,17770,23733,21419,18755,1971,Dzielnica II Grzegórzki,"(50.05537243881104, 19.964580135646525)",pierwotny,2024-06-19,2024
1715,LASÓWKA,30C,30C_100_LOK,63.72,3.0,8.0,699650,10980,11429,11402,14979,10700,13351,14165,4321,Dzielnica XIII Podgórze,"(50.0489373703538, 19.995909095103205)",pierwotny,2024-06-25,2024
1716,ODRZAŃSKA,4,76_LOK,50.47,4.0,5.0,720000,14266,14311,14246,14142,12117,13776,14538,4082,Dzielnica IX Łagiewniki-Borek Fałęcki,"(50.026007492876936, 19.928319932589627)",wtorny,2024-06-26,2024
1717,PRZEWÓZ,32A,90_LOK,45.2,2.0,1.0,730000,16150,15150,15072,14979,15713,14533,14563,4526,Dzielnica XIII Podgórze,"(50.04207845993152, 19.994172188530385)",wtorny,2025-08-12,2025
1718,ROMANA CIESIELSKIEGO,8A,64_LOK,52.58,3.0,4.0,609886,11599,12331,11933,13985,12331,15695,15020,5327,Dzielnica XIV Czyżyny,"(50.06175825755868, 20.013519298297133)",pierwotny,2025-05-19,2025
1719,BOLESŁAWA ORLIŃSKIEGO,6,204_LOK,62.33,4.0,6.0,990000,15883,15251,16770,13985,15019,15950,16048,4922,Dzielnica XIV Czyżyny,"(50.08077538819949, 20.001436034039976)",wtorny,2025-08-05,2025
1720,ZAKARCZMIE,39,8_LOK,54.54,3.0,3.0,850000,15585,14697,13958,12922,13367,13367,13650,8923,Dzielnica X Swoszowice,"(49.98428062862675, 19.90832635368767)",wtorny,2025-07-28,2025
1721,STAŃCZYKA,5,23_LOK,36.56,2.0,3.0,655000,17916,17775,16906,14996,15566,15207,15349,3662,Dzielnica VI Bronowice,"(50.07820505601578, 19.894452764933348)",wtorny,2024-06-11,2024
1722,TOPOLOWA,19,8_LOK,24.92,1.0,3.0,251100,10076,12873,15945,17770,19816,18471,19019,1151,Dzielnica II Grzegórzki,"(50.06663030583467, 19.95352108223524)",wtorny,2024-04-26,2024
1723,DRUKARSKA,7,48_LOK,47.91,3.0,2.0,663000,13838,14151,13747,14775,10028,13925,13748,4987,Dzielnica VIII Dębniki,"(50.02340326126283, 19.903740491166563)",pierwotny,2025-10-25,2025
1724,MIERZEJA WIŚLANA,6,32_LOK,40.28,2.0,1.0,617498,15330,16289,15954,14979,13916,16408,16562,5371,Dzielnica XIII Podgórze,"(50.036077735592826, 20.002336420494622)",pierwotny,2025-10-02,2025
1725,MYŚLIWSKA,66D,109_LOK,44.48,3.0,3.0,627141,14099,13643,13300,14979,14151,13955,14512,4418,Dzielnica XIII Podgórze,"(50.04723661971507, 19.996358984908376)",pierwotny,2025-10-23,2025
1726,KAROLA BUNSCHA,14C,24_LOK,32.44,1.0,4.0,467740,14419,15125,14841,14775,14057,14888,14887,6545,Dzielnica VIII Dębniki,"(50.015132153627995, 19.883889370839732)",pierwotny,2025-10-24,2025
1727,MONTE CASSINO,6,14_LOK,36.96,2.0,2.0,595000,16098,15657,15216,14775,15657,17584,17034,1795,Dzielnica VIII Dębniki,"(50.047308121605795, 19.928919475083923)",wtorny,2025-09-22,2025
1728,SEMPERITOWCÓW,17,9_LOK,29.6,2.0,,426000,14392,15542,16656,17770,12822,18614,18753,1572,Dzielnica II Grzegórzki,"(50.05545730658604, 19.958504245961745)",wtorny,2025-10-16,2025
1729,Al. POKOJU,26,8_LOK,36.73,3.0,2.0,545000,14838,12840,16222,17770,14617,14722,15252,2777,Dzielnica II Grzegórzki,"(50.06096651179979, 19.977847293502656)",wtorny,2025-09-25,2025
1730,CIESZYŃSKA,9A,35_LOK,56.72,3.0,3.0,1328127,23416,19223,18975,16968,17222,16413,16353,1497,Dzielnica V Krowodrza,"(50.074547374516676, 19.931211096791454)",wtorny,2025-09-03,2025
1731,ERAZMA JERZMANOWSKIEGO,37,7_LOK,47.46,2.0,3.0,664440,14000,12421,12542,13627,12421,13431,14085,7630,Dzielnica XII Biezanow-Prokocim,"(50.011047990710395, 20.010375302964125)",wtorny,2025-01-29,2025
1732,OSIEDLE KOLOROWE,16,12_LOK,51.29,3.0,4.0,740000,14428,13421,13181,12842,12966,13126,13569,6169,Dzielnica XVIII Nowa Huta,"(50.07366810799372, 20.02339201382953)",wtorny,2025-06-23,2025
